행정동코드,행정동,gid,추정소득 k=35,소득분위
1154551000,가산동,다사44bb42ba,-0.4936149609427749,7
1154551000,가산동,다사44bb42bb,-0.4936149609427749,7
1154551000,가산동,다사45aa42ab,-0.4936149609427749,7
1154551000,가산동,다사45aa42ba,-0.6785749237357134,4
1154551000,가산동,다사45aa42bb,-0.6785749237357134,4
1154551000,가산동,다사45aa43aa,-0.6785749237357134,4
1154551000,가산동,다사45ab41ab,-0.4322104311888157,8
1154551000,가산동,다사45ab42ab,-0.07528057242757245,10
1154551000,가산동,다사45ab42ba,-1.0065835760715613,1
1154551000,가산동,다사45ab42bb,-1.0039767807054771,1
1154551000,가산동,다사45ba41aa,-0.36486526412086057,8
1154551000,가산동,다사45ba41ab,-0.49389883113947386,7
1154551000,가산동,다사45ba41ba,-0.7333576410134566,3
1154551000,가산동,다사45ba42ab,0.19866786858773108,10
1154551000,가산동,다사45ba42ba,-0.9817911885737952,1
1154561000,독산제1동,다사45bb39bb,-0.6897222481879097,4
1154561000,독산제1동,다사45bb40aa,-0.6094424288832809,5
1154561000,독산제1동,다사45bb40ab,-0.4974791327154918,7
1154551000,가산동,다사45bb40bb,-0.36486526412086057,8
1154551000,가산동,다사45bb41aa,-0.36486526412086057,8
1154551000,가산동,다사45bb41ab,-0.6928531342755715,4
1154551000,가산동,다사45bb41ba,-0.7349560670927456,3
1154551000,가산동,다사45bb41bb,-0.4029428984995339,8
1154551000,가산동,다사45bb42aa,0.16846943459964103,10
1154551000,가산동,다사45bb42ab,0.19866786858773108,10
1154561000,독산제1동,다사46aa39ba,-0.6566351924639829,4
1154561000,독산제1동,다사46aa39bb,-0.6897222481879097,4
1154561000,독산제1동,다사46aa40aa,0.239514391674863,10
1154561000,독산제1동,다사46aa40ab,-0.4746164598706869,7
1154561000,독산제1동,다사46aa40ba,-0.322460823940282,9
1154561000,독산제1동,다사46aa40bb,-0.5337601267777412,7
1154561000,독산제1동,다사46aa41aa,-0.6356380856272871,5
1154561000,독산제1동,다사46aa41ab,-0.6225752028167176,5
1154551000,가산동,다사46aa41ba,-0.707918016681682,3
1154551000,가산동,다사46aa41bb,-0.7266747372535883,3
1154551000,가산동,다사46aa42aa,0.2015346931738748,10
1154551000,가산동,다사46aa42ab,0.2210621496431634,10
1154561000,독산제1동,다사46ab39ba,0.23704122826409793,10
1154567000,시흥제1동,다사46ab39bb,0.8425462041002678,10
1154561000,독산제1동,다사46ab40aa,0.8425462041002678,10
1154561000,독산제1동,다사46ab40ab,-0.3036428075154471,9
1154561000,독산제1동,다사46ab40ba,-0.6586262606409855,4
1154561000,독산제1동,다사46ab40bb,-0.5456792312242558,6
1154561000,독산제1동,다사46ab41aa,-0.41897224594883337,8
1154561000,독산제1동,다사46ab41ab,-0.5788195957873679,6
1154551000,가산동,다사46ab41ba,-0.5854307571277522,6
1154551000,가산동,다사46ab41bb,-0.4148010902549085,8
1154551000,가산동,다사46ab42aa,-0.32809930771612217,9
1154567000,시흥제1동,다사46ba38bb,-0.33347050377703735,9
1154567000,시흥제1동,다사46ba39aa,-0.4456854210896439,8
1154567000,시흥제1동,다사46ba39ab,-0.4456854210896439,8
1154567000,시흥제1동,다사46ba39ba,-0.5086666549764226,7
1154567000,시흥제1동,다사46ba39bb,-0.31885555533901744,9
1154561000,독산제1동,다사46ba40aa,-0.2656191383771405,9
1154561000,독산제1동,다사46ba40ab,-0.2617974108067689,9
1154561000,독산제1동,다사46ba40ba,-0.358494120839454,9
1154561000,독산제1동,다사46ba40bb,-0.2803256525188924,9
1154561000,독산제1동,다사46ba41aa,-0.2803256525188924,9
1154561000,독산제1동,다사46ba41ab,-0.5030642970909639,7
1154561000,독산제1동,다사46ba41ba,-0.582023921500355,6
1154561000,독산제1동,다사46ba41bb,-0.581110526925903,6
1154561000,독산제1동,다사46ba42aa,-0.6668076645626002,4
1154569000,시흥제3동,다사46bb37bb,-0.6418540782509875,5
1154569000,시흥제3동,다사46bb38aa,-0.6023085086795013,5
1154569000,시흥제3동,다사46bb38ab,-0.33101109864374373,9
1154567000,시흥제1동,다사46bb38ba,-0.582746414876007,6
1154567000,시흥제1동,다사46bb38bb,0.02308161670812033,10
1154567000,시흥제1동,다사46bb39aa,-0.24628189485164986,9
1154567000,시흥제1동,다사46bb39ab,-0.42195818572801597,8
1154567000,시흥제1동,다사46bb39ba,-0.553303413128952,6
1154567000,시흥제1동,다사46bb39bb,-0.5264517267643859,7
1154562000,독산제2동,다사46bb40aa,-0.2617974108067689,9
1154562000,독산제2동,다사46bb40ab,-0.5485590583907225,6
1154562000,독산제2동,다사46bb40ba,-0.716745991611322,3
1154562000,독산제2동,다사46bb40bb,-0.511043605754356,7
1154564000,독산제4동,다사46bb41aa,-0.4494283928824259,8
1154564000,독산제4동,다사46bb41ab,-0.5624658650066925,6
1154563000,독산제3동,다사46bb41ba,-0.47909060266099396,7
1154563000,독산제3동,다사46bb41bb,-0.18750292287102596,10
1154563000,독산제3동,다사46bb42aa,-0.159794680856735,10
1154563000,독산제3동,다사46bb42ab,-0.5667490202979398,6
1154569000,시흥제3동,다사47aa37ba,-0.43883082388758615,8
1154569000,시흥제3동,다사47aa37bb,-0.6418540782509876,4
1154569000,시흥제3동,다사47aa38aa,-0.6403053878561552,5
1154569000,시흥제3동,다사47aa38ab,-0.7077426788772442,3
1154569000,시흥제3동,다사47aa38ba,-0.25601299944431244,9
1154567000,시흥제1동,다사47aa38bb,0.16614303702686847,10
1154567000,시흥제1동,다사47aa39aa,-0.06405779367649403,10
1154567000,시흥제1동,다사47aa39ab,-0.20623849574196962,10
1154567000,시흥제1동,다사47aa39ba,-0.34766656759863007,9
1154567000,시흥제1동,다사47aa39bb,-0.3958489294774238,8
1154567000,시흥제1동,다사47aa40aa,-0.6934760635503175,4
1154562000,독산제2동,다사47aa40ab,-0.7504374865788058,3
1154562000,독산제2동,다사47aa40ba,-0.7532854998274355,3
1154562000,독산제2동,다사47aa40bb,-0.6434568723529143,4
1154564000,독산제4동,다사47aa41aa,-0.6030118982727408,5
1154564000,독산제4동,다사47aa41ab,-0.7280779998904978,3
1154563000,독산제3동,다사47aa41ba,-0.7606286676431784,2
1154563000,독산제3동,다사47aa41bb,-0.5529457322993155,6
1154563000,독산제3동,다사47aa42aa,0.25243364707895544,10
1154563000,독산제3동,다사47aa42ab,-0.4123166094676753,8
1154569000,시흥제3동,다사47ab37ab,-0.4583158583221854,7
1154569000,시흥제3동,다사47ab37ba,-0.4499067916449662,8
1154569000,시흥제3동,다사47ab37bb,-0.6813652093296049,4
1154569000,시흥제3동,다사47ab38aa,-0.78700753901608,2
1154569000,시흥제3동,다사47ab38ab,-0.7723429321802611,2
1154569000,시흥제3동,다사47ab38ba,-0.7191078156524863,3
1154571000,시흥제5동,다사47ab38bb,-0.5126924821630348,7
1154567000,시흥제1동,다사47ab39aa,-0.09920707656016202,10
1154567000,시흥제1동,다사47ab39ab,-0.6262698995555596,5
1154567000,시흥제1동,다사47ab39ba,-0.9209077748927916,1
1154567000,시흥제1동,다사47ab39bb,-0.9170425855478925,1
1154567000,시흥제1동,다사47ab40aa,-0.5516070652211015,6
1154570000,시흥제4동,다사47ab40ab,-0.5636613515791811,6
1154562000,독산제2동,다사47ab40ba,-0.6463251073507603,4
1154562000,독산제2동,다사47ab40bb,-0.6726899429640381,4
1154564000,독산제4동,다사47ab41aa,-0.8155114817421233,1
1154564000,독산제4동,다사47ab41ab,-0.8240259884518025,1
1154563000,독산제3동,다사47ab41ba,-0.8262698160031197,1
1154563000,독산제3동,다사47ab41bb,-0.8118205488364928,1
1154563000,독산제3동,다사47ab42aa,-0.5124832669559318,7
1154563000,독산제3동,다사47ab42ab,-0.1760726070272137,10
1154569000,시흥제3동,다사47ba37ab,-0.4499067916449662,8
1154569000,시흥제3동,다사47ba37ba,-0.5143333849641499,7
1154569000,시흥제3동,다사47ba37bb,-0.7714120544902698,2
1154569000,시흥제3동,다사47ba38aa,-0.8137193681837127,1
1154569000,시흥제3동,다사47ba38ab,-0.8448407387029598,1
1154569000,시흥제3동,다사47ba38ba,-0.5996799037450757,5
1154571000,시흥제5동,다사47ba38bb,-0.5503922883337903,6
1154571000,시흥제5동,다사47ba39aa,-0.5315663593256151,7
1154571000,시흥제5동,다사47ba39ab,-0.6622231882892897,4
1154570000,시흥제4동,다사47ba39ba,-0.8409415346895902,1
1154570000,시흥제4동,다사47ba39bb,-0.9075596398077111,1
1154570000,시흥제4동,다사47ba40aa,-0.5433199548983243,6
1154570000,시흥제4동,다사47ba40ab,-0.7206844343344644,3
1154570000,시흥제4동,다사47ba40ba,-0.6168046562319134,5
1154562000,독산제2동,다사47ba40bb,-0.626946377942579,5
1154564000,독산제4동,다사47ba41aa,-0.6735559343464596,4
1154564000,독산제4동,다사47ba41ab,-0.7301271617930695,3
1154564000,독산제4동,다사47ba41ba,-0.7916408419890127,2
1154563000,독산제3동,다사47ba41bb,-0.8267306409881566,1
1154563000,독산제3동,다사47ba42aa,-0.7963189446970292,2
1154563000,독산제3동,다사47ba42ab,-0.5471667970421642,6
1154569000,시흥제3동,다사47bb37bb,-0.7964505259429713,2
1154569000,시흥제3동,다사47bb38aa,-0.7964505259429712,2
1154569000,시흥제3동,다사47bb38ab,-0.6587567598599203,4
1154571000,시흥제5동,다사47bb38ba,-0.5430864699738619,6
1154571000,시흥제5동,다사47bb38bb,-0.5067517300356227,7
1154571000,시흥제5동,다사47bb39aa,-0.5060253550985477,7
1154571000,시흥제5동,다사47bb39ab,-0.6383168095633994,5
1154571000,시흥제5동,다사47bb39ba,-0.8518869293493981,1
1154571000,시흥제5동,다사47bb39bb,-0.8518869293493981,1
1154570000,시흥제4동,다사47bb40aa,-0.8205424250568376,1
1154570000,시흥제4동,다사47bb40ab,-0.7482224423372544,3
1154570000,시흥제4동,다사47bb40ba,-0.6945904383367062,4
1154562000,독산제2동,다사47bb40bb,-0.6945904383367062,4
1154564000,독산제4동,다사47bb41aa,-0.5464461807920137,6
1154563000,독산제3동,다사47bb41bb,-0.3819180985079797,8
1154563000,독산제3동,다사47bb42aa,-0.2668901413264892,9
1154569000,시흥제3동,다사48aa38aa,-0.7272152624474839,3
1154571000,시흥제5동,다사48aa38ab,-0.5430864699738619,6
1154571000,시흥제5동,다사48aa38ba,-0.5067517300356227,7
1154571000,시흥제5동,다사48aa38bb,-0.34585653621850304,9
1154568000,시흥제2동,다사48aa39aa,-0.34585653621850304,9
1154568000,시흥제2동,다사48aa39ab,-0.4141862365125955,8
1154571000,시흥제5동,다사48aa39ba,-0.4404793696292924,8
1154571000,시흥제5동,다사48aa39bb,-0.44047936962929246,8
1154570000,시흥제4동,다사48aa40aa,-0.7625905650988549,2
1154570000,시흥제4동,다사48aa40ab,-0.7957776728355049,2
1154571000,시흥제5동,다사48ab38aa,-0.7605996544123765,2
1154571000,시흥제5동,다사48ab38ab,-0.7605996544123765,2
1154571000,시흥제5동,다사48ab38ba,-0.7605996544123764,3
1154568000,시흥제2동,다사48ab38bb,-0.7605996544123764,3
1154568000,시흥제2동,다사48ab39aa,-0.7605996544123764,3
1154568000,시흥제2동,다사48ab39ab,-0.7876508974075807,2
1154571000,시흥제5동,다사48ab39ba,-0.7876508974075807,2
1154571000,시흥제5동,다사48ab39bb,-0.7876508974075807,2
1154571000,시흥제5동,다사48ba38aa,-0.6964592322631257,3
1154571000,시흥제5동,다사48ba38ab,-0.6964592322631257,3
1154568000,시흥제2동,다사48ba38ba,-0.8559530803484555,1
1154568000,시흥제2동,다사48ba38bb,-0.8559530803484555,1
1154568000,시흥제2동,다사48ba39aa,-0.8559530803484555,1
1154568000,시흥제2동,다사48ba39ab,-0.7876508974075807,2
1154568000,시흥제2동,다사48ba39ba,-0.7876508974075807,2
1154568000,시흥제2동,다사48ba39bb,-0.7876508974075807,2
1154568000,시흥제2동,다사48bb38ba,-0.6273877376715717,5
1154568000,시흥제2동,다사48bb38bb,-0.6273877376715717,5
1154568000,시흥제2동,다사48bb39aa,-0.6273877376715717,5
1154568000,시흥제2동,다사48bb39ab,-0.6273877376715717,5
1154568000,시흥제2동,다사48bb39ba,-0.7876508974075808,2
1154568000,시흥제2동,다사48bb39bb,-0.22948084377915748,10
1154568000,시흥제2동,다사49aa38bb,-0.6273877376715717,5
1154568000,시흥제2동,다사49aa39aa,-0.6273877376715717,5
1154568000,시흥제2동,다사49aa39ab,-0.6273877376715717,5
